entity_id,status
E100002000119,in old vintage only
E100002000638,in old vintage only
E100002000672,in old vintage only
E100002000697,in old vintage only
E100002000837,in old vintage only
E100002000849,in old vintage only
E100002000850,in old vintage only
E100002000880,in old vintage only
E100002000886,in old vintage only
E100002000887,in old vintage only
E100002000926,in old vintage only
E100002000969,in old vintage only
E100002001096,in old vintage only
E100002001098,in old vintage only
E100002001102,in old vintage only
E100002001103,in old vintage only
E100002001118,in old vintage only
E100002001144,in old vintage only
E100002001210,in old vintage only
E100002001235,in old vintage only
E100002001240,in old vintage only
E100002001254,in old vintage only
E100002001269,in old vintage only
E100002001294,in old vintage only
E100002001374,in old vintage only
E100002001386,in old vintage only
E100002001426,in old vintage only
E100002001490,in old vintage only
E100002001553,in old vintage only
E100002002692,in old vintage only
E100002002693,in old vintage only
E100002002727,in old vintage only
E100002002744,in old vintage only
E100002002964,in old vintage only
E100002002965,in old vintage only
E100002002966,in old vintage only
